0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"['Howard Nostrand', 0.96515]","['Tame bear', 0.94954]","['List of Marvel 1602 characters', 0.81094]","['Sword (comics)', 0.81094]","['Old Man Logan', 0.81094]","['Indulekha.com', 0.58513]","['Political positions of Ronald Reagan', 0.58513]","['Postkodmiljonären', 0.58513]","['Jag Mundhra', 0.58513]","['Speaking in Strings', 0.58513]","['Tomoaki Maeno', 0.58513]","['An Awfully Big Adventure', 0.574]","['Roberto Ampuero', 0.574]","['Recount (film)', 0.56887]","['S. Darko', 0.56571]","['Mannhai', 0.55201]","['Ariel Winter', 0.55201]","['Henry Lau', 0.54256]","['Tatsuhisa Suzuki', 0.51722]","['Nathan Furst', 0.51284]","['Demet Akalın', 0.5073]","['Chase Hoyt', 0.49395]","['Lee International', 0.49395]","['Kris Jenner', 0.49395]","['Michael Arbuthnot', 0.49395]","['Zhang Yibai', 0.49395]","['Pisnia zavzhdy z namy', 0.49395]","['Marisa Sannia', 0.49395]","['Peruman railway accident', 0.49395]","['Golden Gate Theater', 0.49395]"
"['FAQs (film)', 0.9799]","['Kerouac: Kicks Joy Darkness', 0.90544]","['Marisa Sannia', 0.84366]","['Krimson Creek', 0.84366]","['Potato cannon', 0.83238]","[""1999 Kids' Choice Awards"", 0.82719]","['Jay Acovone', 0.81211]","['Jim Adduci (baseball, born 1959)', 0.79614]","['Pilgrim Lutheran School, Chicago', 0.79614]","['First Student Canada', 0.79614]","['Steve Roslonek', 0.79614]","['Takayuki Hamana', 0.79614]","['Rachel Tucker', 0.74109]","['Sid Kuller', 0.60512]","['Sci-Fi on the Rock', 0.60512]","['Percy Vear', 0.60512]","['David Banner discography', 0.60512]","['Dutch Island Light', 0.60512]","['Popper and After', 0.60512]","['2008–09 U.S. Città di Palermo season', 0.60512]","['Roman Catholic Deanery of Sumy', 0.60512]","['Art of the Devil', 0.60512]","['Alan Hunte', 0.60512]","['Marguerite (musical)', 0.59687]","['WriteGirl', 0.57667]","['Warehouse 13', 0.57335]","['The Sorrows of an American', 0.57335]","['Political positions of Ronald Reagan', 0.57335]","['Yellow Bird (company)', 0.57335]","['Wood Brothers Racing', 0.57335]"
"['An Awfully Big Adventure', 1.0]","['Canada Science and Technology Museum', 1.0]","['Jacinto-class patrol vessel', 1.0]","['HTC Touch Diamond', 1.0]","['List of Marvel 1602 characters', 1.0]","['Army and Navy YMCA', 1.0]","['List of colleges and universities in Bacolod', 1.0]","['2008 California Proposition 4', 1.0]","['Greek diacritics', 1.0]","['Open textbook', 1.0]","['Block Island North Light', 1.0]","['M43 motorway (Hungary)', 1.0]","['2008 Lebanon conflict', 1.0]","['Hellman & Friedman', 1.0]","['Ricardo Caputo', 1.0]","['Energy Resources Conservation Board', 1.0]","['Dabhol', 1.0]","['Roger Bernadina', 1.0]","['West Sussex County Council', 1.0]","['Devon County Council', 1.0]","['A Golden Anniversary Bibliography of Edgar Rice Burroughs', 1.0]","['Conanicut Battery', 1.0]","['Search cost', 1.0]","['Ephraim Kingsbury Avery', 1.0]","['Sarah Maria Cornell', 1.0]","['Witherbee School', 1.0]","['Jamestown Windmill', 1.0]","['ENSCO, Inc.', 1.0]","['Collaborative Fusion', 1.0]","['Dr. Charles Cotton House', 1.0]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Empresas Públicas de Medellín', 1.0]","['Genaro Vázquez Rojas', 0.8892]","['Nigel Shadbolt', 0.8892]","['Split Lip Rayfield (album)', 0.8892]","['Greeks in Austria', 0.8892]","['Nightmare Creatures II', 0.8892]","['Manggarai people', 0.8892]","['Folger', 0.8892]","['2000 United States presidential election in Alabama', 0.8892]","['Warehouse 13', 0.45752]","['2008–09 Cleveland Cavaliers season', 0.45752]","['12 (Keller Williams album)', 0.45752]","['Washington Redhawks', 0.45752]","['Climate of Ireland', 0.45752]","['Nabendu Ghosh', 0.45752]","['Television Preview', 0.45752]","['Lee International', 0.45752]","['Diego Capusotto', 0.45752]","['Demet Akalın', 0.45752]","['Open textbook', 0.45752]","['The Firefly (operetta)', 0.45752]","['Energy Resources Conservation Board', 0.45752]","['David Rudisha', 0.45752]","['Jean Machi', 0.45752]","['Ondine (ballet)', 0.45752]","['Roger Bernadina', 0.45752]","['Devon County Council', 0.45752]","['Viscoplasticity', 0.45752]","['Modulating retro-reflector', 0.45752]","['In the Rain', 0.45752]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Beppe Gambetta', 0.8911]","['Kenny Wollesen', 0.8911]","['Brunellopoli', 0.84142]","['List of Marvel 1602 characters', 0.80985]","['Manggarai people', 0.80985]","['Saint Karas', 0.80985]","['Drumma Boy', 0.80985]","['Agriculture & New York State Horse Breeding Development Fund', 0.80985]","['Index of Utah-related articles', 0.80985]","['Index of New Mexico–related articles', 0.80985]","['Sir Thomas Rich, 1st Baronet', 0.80985]","['Kerouac: Kicks Joy Darkness', 0.80985]","['Champagne breakfast', 0.80985]","['Climate of Argentina', 0.7444]","['David Rudisha', 0.58663]","['1960 United States presidential election in California', 0.58663]","['Beechwood High School', 0.58663]","['Reservation poverty', 0.58663]","['Cressie', 0.58663]","['Bakersfield Community Theatre', 0.58663]","['PRO-IP Act', 0.58663]","['Jack Surtees', 0.58663]","['Ill Chemistry', 0.58663]","['1989–90 Boston Celtics season', 0.58663]","['Viva la Vida Tour', 0.58663]","['Tommy Goodwin (footballer)', 0.58663]","['Jimmy Binning', 0.58663]","['Gifting remittances', 0.58423]","['Never Make It Home', 0.57478]","['FAQs (film)', 0.57478]"
"['Sharpe, Paley and Austin', 0.96424]","['Gifting remittances', 0.94194]","['Potato cannon', 0.91785]","['Migron, Mateh Binyamin', 0.886]","['Twister...Ride it Out', 0.886]","['Brunellopoli', 0.886]","['Turnaround (refining)', 0.886]","['Toyota Corolla (E30)', 0.886]","['Cannonball (missile)', 0.886]","['Lojas Americanas', 0.83728]","['Open textbook', 0.70914]","['Organic food', 0.59212]","['Nuclear holocaust', 0.59212]","['90th Fighter Squadron', 0.54666]","['Michigan Limestone and Chemical Company', 0.51823]","['List of Scottish Football League clubs', 0.46368]","['Serbia Zijin Bor Copper', 0.46368]","['Sid Kuller', 0.46368]","['Sci-Fi on the Rock', 0.46368]","['81st Fighter Squadron', 0.46368]","['179th Fighter Squadron', 0.46368]","['Libral standard', 0.46368]","['Styrian Armoury', 0.46368]","['Beechwood High School', 0.46368]","['41st Combined Arms Army', 0.46368]","['John R. Cummins Farmhouse', 0.46368]","['Stick to Your Guns (band)', 0.46368]","[""Sudama Panday 'Dhoomil'"", 0.46368]","['List of people with the Korean family name Kim', 0.46368]","['Mara Carfagna', 0.46368]"
"['International cricket in 2008–09', 1.0]","['Warehouse 13', 1.0]","['Indulekha.com', 1.0]","['Nabendu Ghosh', 1.0]","['Diego Capusotto', 1.0]","['List of mountains in China', 1.0]","['Dabhol', 1.0]","['Christ School, Bangalore', 1.0]","['Christ School', 1.0]","['Sci-Fi on the Rock', 1.0]","['5th Mahratta Light Infantry', 1.0]","['Vivan Bhatena', 1.0]","['Peruman railway accident', 1.0]","['Kichlu', 1.0]","['12345', 1.0]","['BNU', 1.0]","['Lahore Chamber of Commerce & Industry', 1.0]","['Bindass', 1.0]","['Dutch Island Light', 1.0]","['Christopher J. H. Wright', 1.0]","['PRO-IP Act', 1.0]","['Distilleries Company of Sri Lanka', 1.0]","['Asita', 1.0]","['Hindu Succession Act, 1956', 1.0]","['Malva neglecta', 1.0]","['Arthur Davidson (equerry)', 1.0]","['HMS Euphrates (1866)', 1.0]","['D. J. Sindh Government Science College', 1.0]","['Ali Murtaza', 1.0]","['HMS Malabar (1866)', 1.0]"
"['Potato cannon', 0.9523]","['David Rudisha', 0.84034]","['Henry Lau', 0.84034]","['Josh Mandel', 0.79458]","['Mats Zuccarello', 0.73309]","['Peruman railway accident', 0.73309]","['Fleet carrier', 0.73309]","['Ghost Online', 0.73309]","['Battle of the Beaufort (1982)', 0.73309]","['2008–09 Phoenix Suns season', 0.73309]","['Keller Williams Realty', 0.73309]","['Giant pangasius', 0.73309]","['Tatsuhisa Suzuki', 0.73309]","['Argos Hill Mill, Mayfield', 0.68014]","['Giuseppina Ronzi de Begnis', 0.68014]","['Gifting remittances', 0.67767]","['Ephraim Kingsbury Avery', 0.65245]","['Old Man Logan', 0.65245]","['New World Foundation', 0.65245]","['Television Preview', 0.64141]","['Arcángel', 0.64141]","['Political positions of Ronald Reagan', 0.60274]","['Open textbook', 0.59427]","['Wood Brothers Racing', 0.59427]","['Reservation poverty', 0.58927]","['Korphe', 0.54207]","['Silk Stocking Sal', 0.54207]","['See You, See Me', 0.54207]","['List of Marvel 1602 characters', 0.54207]","['Indulekha.com', 0.54207]"
